Tm,OPS+
Arizona Diamondbacks,108
Athletics,106
Atlanta Braves,102
Baltimore Orioles,97
Boston Red Sox,107
Chicago Cubs,115
Chicago White Sox,88
Cincinnati Reds,90
Cleveland Guardians,85
Colorado Rockies,80
Detroit Tigers,103
Houston Astros,97
Kansas City Royals,96
Los Angeles Angels,92
Los Angeles Dodgers,114
Miami Marlins,96
Milwaukee Brewers,105
Minnesota Twins,95
New York Mets,114
New York Yankees,117
Philadelphia Phillies,107
Pittsburgh Pirates,83
San Diego Padres,96
Seattle Mariners,113
San Francisco Giants,99
St. Louis Cardinals,97
Tampa Bay Rays,98
Texas Rangers,100
Toronto Blue Jays,108
Washington Nationals,95
